ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6039,"2013",4141,681,"Ames, IA","16000US1901855","ames-ia","Native Born",0.06882395957984311
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6039,"2013",1951,373,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03242587421885387
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6039,"2013",655,195,"Ames, IA","16000US1901855","ames-ia","Native Born",0.010886185347693126
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6039,"2013",1299,335,"Ames, IA","16000US1901855","ames-ia","Native Born",0.021589549262066215
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6039,"2013",2243,412,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03727895226698577
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6039,"2013",2266,380,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03766121526392767
3,"Foreign Born",0,"Under 5 Years",2013,"2013",42,31,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0006980454726765058
3,"Foreign Born",1,"5 to 17 Years",2013,"2013",442,142,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0073460975934051325
3,"Foreign Born",2,"18 to 24 Years",2013,"2013",2533,222,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.04209879005451403
3,"Foreign Born",3,"25 to 34 Years",2013,"2013",1833,212,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.030464698843238932
3,"Foreign Born",4,"35 to 44 Years",2013,"2013",873,208,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.014509373753490228
3,"Foreign Born",5,"45 to 54 Years",2013,"2013",483,142,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.008027522935779817
3,"Foreign Born",6,"55 to 59 Years",2013,"2013",208,71,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0034569871027788856
3,"Foreign Born",7,"60 & 61 Years",2013,"2013",57,40,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0009473474272038292
3,"Foreign Born",8,"62 to 64 Years",2013,"2013",105,63.00000000000001,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0017451136816912644
3,"Foreign Born",9,"65 to 74 Years",2013,"2013",147,56,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.00244315915436777
3,"Foreign Born",10,"75 Years & Over",2013,"2013",26,22,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0004321233878473607
